Type,From,To
Dependency,Account / Guest Login Service,Among Us Client
Dependency,Game Lobby Server,Among Us Client
Dependency,Matchmaking Service,Among Us Client
Dependency,Player Cosmetics / Store,Among Us Client
Dependency,Chat Service,Among Us Client
Dependency,Game Lobby Server,Account / Guest Login Service
Dependency,Matchmaking Service,Account / Guest Login Service
Dependency,Chat Service,Game Lobby Server
Hosted-on,Account / Guest Login Service,AWS EC2 (Burstable T-class)
Hosted-on,Game Lobby Server,AWS EC2 (Burstable T-class)
Hosted-on,Matchmaking Service,AWS EC2 (Burstable T-class)
Hosted-on,Player Cosmetics / Store,AWS EC2 (Burstable T-class)
Hosted-on,Chat Service,AWS EC2 (Burstable T-class)
