Node,Type,ServiceTier
Fall Guys Client (All Platforms),Functional,
Epic Online Services (EOS) Auth,Functional,
Game Session Server,Functional,
Matchmaking Service,Functional,
Player Profile & Kudos,Functional,
Cosmetics / Store,Functional,
Season Pass Service,Functional,
Analytics Service,Functional,
Cross-Platform Account Linking,Functional,
Auto-Scaling Group,Functional,
PlayStation Network,Provider,
Xbox Live,Provider,
Nintendo Network,Provider,
Steam / Valve Backend,Provider,
AWS EC2 (EOS Infrastructure),Provider,EC2 M/C/R class (single AZ)
AWS Region us-east-1,Provider,
AWS Region eu-west-1,Provider,
AWS Region ap-southeast-1,Provider,
