Node,Type,ServiceTier
Roblox Client,Functional,
Authentication Service,Functional,
Game Server (Place Instance),Functional,
Matchmaking / Discovery Service,Functional,
Player Inventory / Avatar,Functional,
Roblox Chat Service,Functional,
Roblox Marketplace,Functional,
Consul Cluster A (Primary),Functional,
Consul Cluster B (Secondary),Functional,
Nomad Scheduler,Functional,
Vault (Secrets Management),Functional,
Monitoring / Telemetry (Decoupled),Functional,
Roblox-Owned Data Center (Primary),Provider,
Roblox-Owned Data Center (Secondary),Provider,
