Type,From,To
Dependency,Epic Online Services (EOS) Auth,Fall Guys Client (All Platforms)
Dependency,Game Session Server,Fall Guys Client (All Platforms)
Dependency,Matchmaking Service,Fall Guys Client (All Platforms)
Dependency,Player Profile & Kudos,Fall Guys Client (All Platforms)
Dependency,Cosmetics / Store,Fall Guys Client (All Platforms)
Dependency,Season Pass Service,Fall Guys Client (All Platforms)
Dependency,Cross-Platform Account Linking,Fall Guys Client (All Platforms)
Dependency,Epic Online Services (EOS) Auth,PlayStation Network
Dependency,Epic Online Services (EOS) Auth,Xbox Live
Dependency,Epic Online Services (EOS) Auth,Nintendo Network
Dependency,Epic Online Services (EOS) Auth,Steam / Valve Backend
Dependency,Game Session Server,Matchmaking Service
Dependency,Player Profile & Kudos,Epic Online Services (EOS) Auth
Dependency,Cosmetics / Store,Player Profile & Kudos
Dependency,Cross-Platform Account Linking,Epic Online Services (EOS) Auth
Dependency,Analytics Service,Game Session Server
Dependency,Game Session Server,Auto-Scaling Group
Hosted-on,Auto-Scaling Group,AWS EC2 (EOS Infrastructure)
Hosted-on,AWS EC2 (EOS Infrastructure),AWS Region us-east-1
Hosted-on,AWS EC2 (EOS Infrastructure),AWS Region eu-west-1
Hosted-on,AWS EC2 (EOS Infrastructure),AWS Region ap-southeast-1
Hosted-on,Epic Online Services (EOS) Auth,AWS Region us-east-1
Hosted-on,Matchmaking Service,AWS Region us-east-1
Hosted-on,Matchmaking Service,AWS Region eu-west-1
Hosted-on,Player Profile & Kudos,AWS Region us-east-1
Hosted-on,Cosmetics / Store,AWS Region us-east-1
Hosted-on,Season Pass Service,AWS Region us-east-1
Hosted-on,Analytics Service,AWS Region us-east-1
