Type,From,To
Hosted-on,Game Server,AWS Compute EC2 Auto Scaling Group (multi-AZ)
Hosted-on,EA Account Service,AWS Database RDS Multi-AZ (Standby)
Hosted-on,EA Account Service,AWS Database ElastiCache (single node)
Hosted-on,EA Account Service,AWS Networking & Edge Application Load Balancer
Hosted-on,EA Account Service,AWS Networking & Edge Route 53 (Standard)
Hosted-on,Matchmaking Service,AWS Compute EC2 Auto Scaling Group (multi-AZ)
Hosted-on,Inventory & Cosmetics,AWS Database RDS Multi-AZ (Standby)
Hosted-on,Ranked & Competitive Service,AWS Database RDS Multi-AZ (Standby)
Hosted-on,Social & Friends Service,AWS Compute EC2 Auto Scaling Group (multi-AZ)
Hosted-on,Telemetry & Observability,AWS Compute EC2 Auto Scaling Group (multi-AZ)
Hosted-on,Patch & Asset CDN,AWS Networking & Edge CloudFront CDN
Dependency,AWS Compute EC2 Auto Scaling Group (multi-AZ),EA Account Service
Dependency,AWS Database RDS Multi-AZ (Standby),Matchmaking Service
Dependency,AWS Database ElastiCache (single node),Matchmaking Service
Dependency,AWS Networking & Edge Application Load Balancer,Matchmaking Service
Dependency,AWS Networking & Edge Route 53 (Standard),Matchmaking Service
Dependency,AWS Networking & Edge CloudFront CDN,Game Server
Dependency,Easy Anti-Cheat,Game Server
Dependency,EA Account Service,Matchmaking Service
Dependency,EA Account Service,Inventory & Cosmetics
Dependency,EA Account Service,Social & Friends Service
Dependency,Matchmaking Service,Game Server
Dependency,Game Server,Ranked & Competitive Service
Dependency,Game Server,Telemetry & Observability
Dependency,Game Server,Patch & Asset CDN
