Type,From,To
Hosted-on,Game Server,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Game Server,AWS Networking & Edge AWS Global Accelerator
Hosted-on,Authentication Service,AWS Database Aurora Global Database
Hosted-on,Authentication Service,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Authentication Service,AWS Networking & Edge Application Load Balancer
Hosted-on,Authentication Service,AWS Networking & Edge Route 53 (Standard)
Hosted-on,Matchmaking Service,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Inventory & Store,AWS Database Aurora Global Database
Hosted-on,Inventory & Store,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Social & Friends Service,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Telemetry & Observability,AWS Compute ECS/EKS (Fargate multi-AZ)
Hosted-on,Patch & Asset CDN,AWS Networking & Edge CloudFront CDN
Dependency,AWS Database Aurora Global Database,Matchmaking Service
Dependency,AWS Networking & Edge Application Load Balancer,Matchmaking Service
Dependency,AWS Networking & Edge Route 53 (Standard),Matchmaking Service
Dependency,AWS Networking & Edge CloudFront CDN,Game Server
Dependency,Vanguard Anti-Cheat,Game Server
Dependency,Authentication Service,Matchmaking Service
Dependency,Authentication Service,Inventory & Store
Dependency,Authentication Service,Social & Friends Service
Dependency,Matchmaking Service,Game Server
Dependency,Game Server,Telemetry & Observability
Dependency,Game Server,Patch & Asset CDN
